timestamp,voltage,current,feedrate,energy
1.770323475516717911e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475526303768e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475536315441e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475546628714e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475556296587e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475566459894e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475578903437e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475586351395e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475596041441e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475606512547e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475616501331e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475626147270e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475636194706e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475646358252e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475656347275e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475666356325e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475676769972e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475686296225e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475696398735e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475706437111e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475716277599e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475726118565e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475736546755e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475746264458e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475756335258e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475766190052e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475776243448e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475786292791e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475796166182e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475806291342e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475816580534e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475826209068e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475836117268e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475846294641e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475856265068e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475866322517e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475876024723e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475886274099e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
1.770323475896405220e+09,5.360000000000000320e+00,1.855999999999999943e+02,4.410000000000000142e+00,4.000000000000000222e-01
